202599
image_id x_1 y_1 width height
000001.jpg    95  71 226 313
000002.jpg    72  94 221 306
000003.jpg   216  59  91 126
000004.jpg   622 257 564 781
000005.jpg   236 109 120 166
000006.jpg   146  67 182 252
000007.jpg    64  93 211 292
000008.jpg   212  89 218 302
000009.jpg   600 274 343 475
000010.jpg   113 110 211 292
000011.jpg   166  68 125 173
000012.jpg   102  31 104 144
000013.jpg    89 132 247 342
000014.jpg   110 122 234 324
000015.jpg    93  86 190 263
000016.jpg    39  89 283 392
000017.jpg    40  64  62  86
000018.jpg   140  84 195 270
000019.jpg   226  87 138 191
000020.jpg    85  38 221 306
000021.jpg   128  27 135 187
000022.jpg   130  33 114 158
000023.jpg   159  94 231 320
000024.jpg   753 127 114 158
000025.jpg   239  85 200 277
000026.jpg    59  45 107 148
000027.jpg    90  47 104 144
000028.jpg   118  32 174 241
000029.jpg    93  71 153 212
000030.jpg   165 181 372 515
000031.jpg    70  94 283 392
000032.jpg   143  50 211 292
000033.jpg    82  37 114 158
000034.jpg   181  41 101 140
000035.jpg   322 138 146 202
000036.jpg   102  56 125 173
000037.jpg    96  74 174 241
000038.jpg   128  99 242 335
000039.jpg   167 207  96 133
000040.jpg    91  87 166 230
000041.jpg   127  91 172 238
000042.jpg    84 102 174 241
000043.jpg   133  62 133 184
000044.jpg   743 626 998 1382
000045.jpg   220  26 138 191
000046.jpg   134  65  99 137
000047.jpg   142  89 203 281
000048.jpg   264  58 140 194
